日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1992-06-02,1.46,2.66,2.76,1.46,190,2345000.0,722.22,1377.78,2.48,0.19
1992-06-03,2.66,2.39,2.66,2.39,3265,7346250.0,10.15,-10.15,-0.27,3.27
1992-06-04,2.39,2.5,2.5,2.33,3100,7285000.0,7.11,4.6,0.11,3.1
1992-06-05,2.28,2.52,2.61,2.28,3390,8034300.5,13.2,0.8,0.02,3.39
1992-06-08,2.5,2.36,2.5,2.33,2410,5350200.0,6.75,-6.35,-0.16,2.41
1992-06-09,2.33,2.19,2.33,2.15,2100,4347000.0,7.63,-7.2,-0.17,2.1
1992-06-10,2.23,2.24,2.29,2.12,2140,4515400.0,7.76,2.28,0.05,2.14
1992-06-11,2.25,2.21,2.4,2.09,1260,2633400.0,13.84,-1.34,-0.03,1.26
1992-06-12,2.23,2.2,2.23,2.14,1630,3382250.0,4.07,-0.45,-0.01,1.63
1992-06-15,2.18,2.05,2.21,2.04,1510,2929400.0,7.73,-6.82,-0.15,1.51
1992-06-16,2.01,1.8,2.01,1.76,595,1017450.0,12.2,-12.2,-0.25,0.6
1992-06-17,1.79,2.01,2.03,1.65,2445,4645500.0,21.11,11.67,0.21,2.45
1992-06-18,2.02,2.09,2.31,2.02,4560,9028800.0,14.43,3.98,0.08,4.56
1992-06-19,2.09,2.07,2.09,1.95,1330,2600150.0,6.7,-0.96,-0.02,1.33
1992-06-22,2.08,1.95,2.08,1.9,985,1822250.0,8.7,-5.8,-0.12,0.99
1992-06-23,1.93,1.96,1.96,1.82,1330,2473800.0,7.18,0.51,0.01,1.33
1992-06-24,1.95,1.93,2.01,1.9,1210,2214300.0,5.61,-1.53,-0.03,1.21
1992-06-25,1.92,1.95,1.97,1.9,1165,2155250.0,3.63,1.04,0.02,1.17
1992-06-26,1.95,2.07,2.07,1.95,5910,11554050.0,6.15,6.15,0.12,5.91
1992-06-29,2.08,2.34,2.39,2.08,4830,10650150.0,14.98,13.04,0.27,4.83
1992-06-30,2.36,2.47,2.52,2.36,6300,14616000.0,6.84,5.56,0.13,6.3
1992-07-01,2.45,2.25,2.49,2.25,4450,9434000.0,9.72,-8.91,-0.22,4.45
1992-07-02,2.23,2.28,2.31,2.2,2185,4697750.0,4.89,1.33,0.03,2.19
1992-07-03,2.28,2.38,2.39,2.28,4950,11088000.0,4.82,4.39,0.1,4.95
1992-07-06,2.39,2.29,2.44,2.23,3135,6771600.0,8.82,-3.78,-0.09,3.14
1992-07-07,2.31,2.33,2.39,2.25,2605,5731000.0,6.11,1.75,0.04,2.61
1992-07-08,2.32,2.36,2.38,2.29,1930,4284600.0,3.86,1.29,0.03,1.93
1992-07-09,2.34,2.29,2.36,2.27,2360,5097600.0,3.81,-2.97,-0.07,2.36
1992-07-10,2.29,2.27,2.29,2.23,2640,5662800.0,2.62,-0.87,-0.02,2.64
